Approximate Location,Poverty,PM2.5,Asthma,Area Type
South Pasadena,19.0,11.52562554,23.61,Inner LA
Burbank,13.4,11.41365521,27.78,Inner LA
Unincorporated Los Angeles County area,14.7,10.03635006,17.56,Outer LA
Los Angeles,11.8,11.67530401,23.7,Inner LA
Los Angeles,11.3,11.17770393,33.41,Inner LA
Los Angeles,32.4,11.80022725,32.28,Inner LA
Long Beach,13.0,11.67288803,29.77,Inner LA
Redondo Beach,15.0,11.99655082,25.78,Inner LA
Alhambra,16.0,11.96491784,29.79,Inner LA
Pasadena,16.2,11.56011948,31.0,Inner LA
Los Angeles,18.2,11.71898001,20.88,Inner LA
Santa Clarita,19.2,9.953790794,30.6,Outer LA
